Conversation,Label
 Let’s set a meeting for this week,Normal
 Can we discuss the project resources?,Normal
 Thank you for your prompt response,Normal
 Can you send the revised timeline?,Normal
 I’m happy with the project direction,Normal
 Let’s review the project deliverables,Normal
 Can we discuss the project milestones?,Normal
 I appreciate your detailed report,Normal
 Can you provide a project status update?,Normal
 I’m looking forward to our next steps,Normal
 Let’s align on the project goals,Normal
 Can we finalize the project objectives?,Normal
 Thank you for your comprehensive feedback,Normal
 Can you send the final project plan?,Normal
 I appreciate your quick action,Normal
 Let’s discuss the project timeline,Normal
 Can we review the project scope?,Normal
 Thank you for the detailed update,Normal
 Can you provide an estimated completion time?,Normal
 I’m happy with the project progress,Normal
 Let’s review the project requirements,Normal
 Can we discuss the project budget?,Normal
 I appreciate your timely feedback,Normal
 Can you send the updated project summary?,Normal
 I’m looking forward to the project launch,Normal
 Let’s align on the project strategy,Normal
 Can we finalize the project timeline?,Normal
 Thank you for your detailed review,Normal
 Can you provide an update on the project deliverables?,Normal
 I appreciate your quick turnaround,Normal
 Let’s set a deadline for the project review,Normal
 Can we discuss the project dependencies?,Normal
 Thank you for your valuable input,Normal
 Can you send the final project report?,Normal
 I’m pleased with the project outcomes,Normal
 Let’s review the project milestones,Normal
 Can we discuss the project feedback?,Normal
 I appreciate your prompt response,Normal
 Can you provide a project update?,Normal
 I’m excited,Normal
,Normal
 about the project progress,Normal
 Let’s align on the key deliverables,Normal
 Can we finalize the project budget?,Normal
 Thank you for your comprehensive feedback,Normal
 Can you send the updated project plan?,Normal
 I appreciate your detailed review,Normal
 Let’s set a meeting for next week,Normal
 Can we discuss the project resources?,Normal
 Thank you for your prompt response,Normal
 Can you send the revised project timeline?,Normal
 I’m happy with the project direction,Normal
 Let’s review the project deliverables,Normal
 Can we discuss the project milestones?,Normal
 I appreciate your detailed report,Normal
 Can you provide a project status update?,Normal
 I’m looking forward to our next steps,Normal
 Let’s align on the project goals,Normal
 Can we finalize the project objectives?,Normal
 Thank you for your comprehensive feedback,Normal
 Can you send the final project plan?,Normal
 I appreciate your quick action,Normal
 Let’s discuss the project timeline,Normal
 Can we review the project scope?,Normal
 Thank you for the detailed update,Normal
 Can you provide an estimated completion time?,Normal
 I’m happy with the project progress,Normal
 Let’s review the project requirements,Normal
 Can we discuss the project budget?,Normal
 I appreciate your timely feedback,Normal
 Can you send the updated project summary?,Normal
 I’m looking forward to the project launch,Normal
 Let’s align on the project strategy,Normal
 Can we finalize the project timeline?,Normal
 Thank you for your detailed review,Normal
 Can you provide an update on the project deliverables?,Normal
 I appreciate your quick turnaround,Normal
 Let’s set a deadline for the project review,Normal
 Can we discuss the project dependencies?,Normal
 Thank you for your valuable input,Normal
 Can you send the final project report?,Normal
 I’m pleased with the project outcomes,Normal
 Let’s review the project milestones,Normal
 Can we discuss the project feedback?,Normal
 I appreciate your prompt response,Normal
 Can you provide a project update?,Normal
 I’m excited about the project progress,Normal
 Let’s align on the key deliverables,Normal
 Can we finalize the project budget?,Normal
 Thank you for your comprehensive feedback,Normal
 Can you send the updated project plan?,Normal
 I appreciate your detailed review,Normal
 Let’s set a meeting for next week,Normal
 Can we discuss the project resources?,Normal
 Thank you for your prompt response,Normal
 Can you send the revised project timeline?,Normal
 I’m happy with the project direction,Normal
 Let’s review the project deliverables,Normal
 Can we discuss the project milestones?,Normal
 I appreciate your detailed report,Normal
 Can you provide a project status update?,Normal
 I’m looking forward to our next steps,Normal
 Let’s align on the project goals,Normal
 Can we finalize the project objectives?,Normal
 Thank you for your comprehensive feedback,Normal
 Can you send the final project plan?,Normal
 I appreciate your quick action,Normal
 Let’s discuss the project timeline,Normal
 Can we review the project scope?,Normal
 Thank you for the detailed update,Normal
 Can you provide an estimated completion time?,Normal
 I’m happy with the project progress,Normal
 Let’s review the project requirements,Normal
 Can we discuss the project budget?,Normal
 I appreciate your timely feedback,Normal
 Can you send the updated project summary?,Normal
 I’m looking forward to the project launch,Normal
 Let’s align on the project strategy,Normal
 Can we finalize the project timeline?,Normal
 Thank you for your detailed review,Normal
 Can you provide an update on the project deliverables?,Normal
 I appreciate your quick turnaround,Normal
 Let’s set a deadline for the project review,Normal
 Can we discuss the project dependencies?,Normal
 Thank you for your valuable input,Normal
 Can you send the final project report?,Normal
 I’m pleased with the project outcomes,Normal
 Let’s review the project milestones,Normal
 Can we discuss the project feedback?,Normal
 I appreciate your prompt response,Normal
 Can you provide a project update?,Normal
 I’m excited about the project progress,Normal
 Let’s align on the key deliverables,Normal
 Can we finalize the project budget?,Normal
 Thank you for your comprehensive feedback,Normal
 Can you send the updated project plan?,Normal
 I appreciate your detailed review,Normal
 Let’s set a meeting for next week,Normal
 Can we discuss the project resources?,Normal
 Thank you for your prompt response,Normal
 Can you send the revised project timeline?,Normal
 I’m happy with the project direction,Normal
 Let’s review the project deliverables,Normal
 Can we discuss the project milestones?,Normal
 I appreciate your detailed report,Normal
"I heard about your grandmother, hope she recovers soon",Normal
 I’m reaching out to confirm our appointment,Normal
 Can we discuss the upcoming deadlines?,Normal
 Thank you for your cooperation on this matter,Normal
 I’m looking forward to reviewing your proposal,Normal
 Can we talk about the project adjustments?,Normal
 I appreciate your assistance with the report,Normal
 Let's schedule a time to go over the details,Normal
 Can you provide feedback on the latest draft?,Normal
 I’m excited to hear your thoughts,Normal
 Thank you for your help with the presentation,Normal
 Can we set up a call to discuss the changes?,Normal
 I appreciate your input on the budget,Normal
 Let's review the contract terms,Normal
 Can we discuss the project timeline?,Normal
 I’m looking forward to your insights,Normal
 Thank you for the timely update,Normal
 Can you share the revised schedule?,Normal
 I’m happy to assist with any questions,Normal
 Let's align on the key priorities,Normal
 Can we finalize the project plan?,Normal
 Thank you for your thorough review,Normal
 Can we discuss the resource allocation?,Normal
 I appreciate your quick feedback,Normal
 Let's set a meeting to review the goals,Normal
 Can you provide an update on the deliverables?,Normal
 I’m excited about the new initiative,Normal
 Thank you for your detailed explanation,Normal
 Can we talk about the project scope?,Normal
 I appreciate your prompt response,Normal
 Let's review the client's requirements,Normal
 Can we finalize the timeline?,Normal
 Thank you for the great collaboration,Normal
 Can you share the latest project updates?,Normal
 I’m looking forward to the next phase,Normal
 Let's discuss the action items,Normal
 Can we address the pending issues?,Normal
 Thank you for your valuable input,Normal
 Can you provide the final version?,Normal
 I’m happy with the progress made,Normal
 Let's align on the next steps,Normal
 Can we set a deadline for the deliverables?,Normal
 Thank you for your prompt action,Normal
 Can we talk about the risk factors?,Normal
 I appreciate your insights on this,Normal
 Let's review the milestones,Normal
 Can you share the project brief?,Normal
 I’m looking forward to the discussion,Normal
 Thank you for the detailed feedback,Normal
 Can we set up a call to finalize the details?,Normal
 I appreciate your support on this,Normal
 Let's discuss the implementation strategy,Normal
 Can you provide an update on the progress?,Normal
 I’m excited about the upcoming launch,Normal
 Thank you for your comprehensive review,Normal
 Can we talk about the project's budget?,Normal
 I appreciate your detailed report,Normal
 Let's review the next steps,Normal
 Can we finalize the project goals?,Normal
 Thank you for the quick response,Normal
 Can you provide the updated timeline?,Normal
 I’m looking forward to your feedback,Normal
 Let's align on the key deliverables,Normal
 Can we discuss the outstanding tasks?,Normal
 Thank you for your cooperation,Normal
 Can we review the project's status?,Normal
 I appreciate your timely updates,Normal
 Let's set a meeting to discuss further,Normal
 Can you share the latest updates?,Normal
 I’m happy with the direction we’re heading,Normal
 Thank you for your patience,Normal
 Can we talk about the resource needs?,Normal
 I appreciate your detailed insights,Normal
 Let's review the project objectives,Normal
 Can we finalize the budget?,Normal
 Thank you for the comprehensive feedback,Normal
 Can you provide an estimated delivery date?,Normal
 I’m excited to move forward,Normal
 Let's align on the key milestones,Normal
 Can we discuss the project requirements?,Normal
 Thank you for your quick action,Normal
 Can we review the client's feedback?,Normal
 I appreciate your prompt response,Normal
 Let's set a deadline for the review,Normal
 Can you provide an update on the project?,Normal
 I’m happy with the progress so far,Normal
 Thank you for your valuable feedback,Normal
 Can we discuss the project timeline?,Normal
 I appreciate your ongoing support,Normal
 Let's align on the project deliverables,Normal
 Can you provide the latest status?,Normal
 Thank you for the detailed report,Normal
 Can we talk about the project scope?,Normal
 I’m looking forward to the next steps,Normal
 Let's review the project plan,Normal
 Can we finalize the implementation timeline?,Normal
 Thank you for the timely feedback,Normal
 Can you provide an updated report?,Normal
 I appreciate your detailed insights,Normal
 Let's set up a call to discuss further,Normal
 Can we talk about the project's risks?,Normal
 Thank you for your cooperation,Normal
 Can we review the project's status?,Normal
 I’m happy with the progress made,Normal
 Let's align on the project's goals,Normal
 Can you provide the final draft?,Normal
 Thank you for your comprehensive review,Normal
 Can we discuss the project dependencies?,Normal
 I appreciate your detailed report,Normal
 Let's set a meeting to review,Normal
 Can you provide an update on the timeline?,Normal
 I’m excited about the new opportunities,Normal
 Thank you for the prompt response,Normal
 Can we talk about the project's budget?,Normal
 I appreciate your insights on this,Normal
 Let's review the next steps,Normal
 Can we finalize the project's scope?,Normal
 Thank you for your cooperation,Normal
 Can we provide an estimated completion date?,Normal
 I’m happy with the progress so far,Normal
 Let's align on the project's deliverables,Normal
 Can you share the latest updates?,Normal
 Thank you for your detailed feedback,Normal
 Can we discuss the project's resources?,Normal
 I appreciate your support on this,Normal
 Let's review the project's objectives,Normal
 Can we finalize the budget?,Normal
 Thank you for the comprehensive review,Normal
 Can you provide an estimated delivery date?,Normal
 I’m excited to move forward with this,Normal
 Let's align on the project's milestones,Normal
 Can we discuss the project's requirements?,Normal
 Thank you for your quick action,Normal
 Can we review the client's feedback?,Normal
 I appreciate your prompt response,Normal
 Let's set a deadline for the project's review,Normal
 I’m looking forward to hearing about your new strategy,Normal
 Can we set up a call to review the marketing plan?,Normal
 Thank you for the quick turnaround on the deliverables,Normal
 I’m eager to discuss the new partnership opportunities,Normal
 Can we go over the logistics for next week's event?,Normal
 I appreciate your insights on the recent market trends,Normal
 Let's finalize the itinerary for the upcoming trip,Normal
 Can you provide feedback on the design mockups?,Normal
 I’m excited to brainstorm ideas for the new campaign,Normal
 Thank you for coordinating the team's efforts,Normal
 Can we discuss the training schedule for the new hires?,Normal
 I appreciate your suggestions for improving the workflow,Normal
 Let's set up a call to finalize the sponsorship details,Normal
 Can you update me on the status of the vendor negotiations?,Normal
 I’m looking forward to your recommendations on the software upgrade,Normal
 Thank you for your detailed analysis of the quarterly report,Normal
 Can we review the customer feedback from last month?,Normal
 I appreciate your help with organizing the event,Normal
 Let's discuss the implementation plan for the new system,Normal
 Can you provide an overview of the competitor analysis?,Normal
 I’m excited to hear your thoughts on the product launch,Normal
 Thank you for your support during the project rollout,Normal
 Can we set a meeting to discuss the sales strategy?,Normal
 I appreciate your feedback on the recent changes,Normal
 Let's align on the next steps for the outreach campaign,Normal
 Can you send over the updated project roadmap?,Normal
 I’m looking forward to your input on the hiring process,Normal
 Thank you for the excellent coordination on this initiative,Normal
 Can we review the key performance indicators for this quarter?,Normal
 I appreciate your assistance with the compliance audit,Normal
This is an urgent call from your bank. There has been suspicious activity on your account. Please verify your account details.,Fraud
"Hello, I’m calling from the IRS. There’s a serious issue with your tax filings, and you must resolve it immediately.",Fraud
"Congratulations! You’ve won a lottery. To claim your prize, please provide your bank details.",Fraud
"Your credit card has been compromised. To secure it, we need you to verify your identity.",Fraud
This is a call from Microsoft. We’ve detected a virus on your computer. Please allow us to access it remotely to fix the issue.,Fraud
Your social security number has been suspended due to suspicious activity. Please call us back immediately.,Fraud
This is the police department. There’s a warrant for your arrest. Pay the fine over the phone to avoid jail.,Fraud
"We are from the government grant department. You have been awarded a grant, but we need your bank details to transfer the funds.",Fraud
Your loan application has been approved. We need your details to disburse the amount.,Fraud
This is a call from your Internet service provider. Your connection will be terminated unless you verify your account details.,Fraud
You have an unpaid utility bill. Pay now to avoid disconnection.,Fraud
"We are conducting a survey, and you will be rewarded for your participation. Please provide your personal information.",Fraud
This is Amazon. There’s a problem with your recent order. We need to verify your payment details.,Fraud
Your PayPal account has been compromised. Please reset your password using this link.,Fraud
You are eligible for a free medical device. We need your Medicare number to process the order.,Fraud
This is your bank’s fraud department. Please confirm your recent transactions.,Fraud
We are from the tech support team. Your computer has been flagged for illegal activity.,Fraud
Your Netflix account will be suspended unless you update your payment information.,Fraud
You have been selected for a special offer. Please confirm your credit card details to proceed.,Fraud
We’ve noticed unusual activity in your eBay account. Please verify your account immediately.,Fraud
This is the customs department. You have a package that needs additional payment to clear customs.,Fraud
Your health insurance policy is about to expire. Renew it now by providing your payment details.,Fraud
You have been chosen to receive a free gift card. Please give us your mailing address.,Fraud
This is the fraud prevention team. Did you authorize a $500 purchase in another state?,Fraud
You have an outstanding balance on your student loan. Pay now to avoid penalties.,Fraud
Your iCloud account has been breached. Please reset your password immediately.,Fraud
We are from the debt collection agency. You need to settle your overdue account.,Fraud
Your car warranty is about to expire. Renew it now to avoid any issues.,Fraud
You’ve been pre-approved for a credit card. Please provide your information to proceed.,Fraud
This is an emergency call. Your family member is in trouble and needs financial assistance.,Fraud
You’ve been selected for a special travel offer. Confirm your details to book your vacation.,Fraud
This is your mobile service provider. Your account needs verification to continue services.,Fraud
We have a job offer for you. Please send your resume and personal details.,Fraud
Your bank account has been frozen due to suspicious activity. Verify now to reactivate it.,Fraud
We are calling from the mortgage company. Your loan needs verification.,Fraud
This is a call from the charity organization. We need your donation details.,Fraud
Your insurance policy needs renewal. Please update your payment information.,Fraud
This is an automated call from your bank. Please press 1 to verify your identity.,Fraud
You’ve been selected for a government benefit. Provide your details to claim it.,Fraud
"This is the fraud department. We need to verify your recent purchase of $1,000.",Fraud
We’ve detected unauthorized access to your email account. Please verify your credentials.,Fraud
This is the Department of Motor Vehicles. Your vehicle registration needs to be updated.,Fraud
You have a refund waiting from a recent transaction. Provide your bank details to proceed.,Fraud
Your subscription is about to expire. Renew now by providing your payment details.,Fraud
We are from the university administration. Your student account needs verification.,Fraud
You’ve won a free trip. Please confirm your personal information to claim it.,Fraud
This is a call from the court. You have been summoned. Pay the fine to avoid legal action.,Fraud
Your account will be suspended unless you confirm your identity now.,Fraud
You have an overdue balance on your medical bill. Pay now to avoid additional charges.,Fraud
This is the fraud alert team. There’s an issue with your recent bank transaction.,Fraud
We are calling from the power company. Your bill is overdue. Pay now to avoid disconnection.,Fraud
Your account has been flagged for unusual activity. Verify now to secure it.,Fraud
This is the employment office. We need to verify your employment details.,Fraud
You have a new voicemail from the bank. Please call us back to listen to it.,Fraud
This is the tax office. You have an outstanding tax balance. Pay now to avoid penalties.,Fraud
Your online banking account has been locked. Please verify your identity to unlock it.,Fraud
We are calling from the loan department. Your application needs additional information.,Fraud
This is the tech support team. Your computer has been hacked. Let us fix it for you.,Fraud
You’ve won a gift card. Provide your email to receive it.,Fraud
This is an urgent message from your bank. Please confirm your recent transactions.,Fraud
Your subscription will be canceled unless you update your payment information.,Fraud
You have a pending refund. Please provide your bank details to receive it.,Fraud
This is a call from the airline. Your flight has been canceled. Please confirm your details for a refund.,Fraud
Your account has been compromised. Please reset your password immediately.,Fraud
This is the fraud detection team. Did you authorize a $500 purchase in another state?,Fraud
We are calling from the customer service department. Your account needs verification.,Fraud
You have been selected for a special discount. Confirm your credit card details to avail it.,Fraud
This is the bank. Your account has been temporarily suspended. Verify your details to reactivate it.,Fraud
You have an outstanding balance on your credit card. Pay now to avoid late fees.,Fraud
This is an important message from your healthcare provider. Your appointment needs confirmation.,Fraud
Your account has been accessed from an unknown device. Please verify your identity.,Fraud
This is the delivery service. Your package is on hold. Provide your details to proceed.,Fraud
You have a pending payment. Please provide your bank details to complete the transaction.,Fraud
This is the bank’s security department. We’ve detected suspicious activity in your account.,Fraud
You have an unpaid invoice. Pay now to avoid additional charges.,Fraud
This is the fraud prevention team. We need to verify your recent transactions.,Fraud
Your email account has been compromised. Please reset your password now.,Fraud
We are calling from the financial aid office. Your application needs additional information.,Fraud
This is the service provider. Your account will be suspended unless you update your details.,Fraud
You have a pending reward. Provide your email to claim it.,Fraud
This is the loan department. Your application has been approved. Provide your details to proceed.,Fraud
Your bank account has been temporarily locked. Please verify your identity to unlock it.,Fraud
We are calling from the tax office. You have an overdue balance. Pay now to avoid penalties.,Fraud
This is the customer service department. Your account needs verification to continue services.,Fraud
You have a pending transaction. Please provide your bank details to complete it.,Fraud
This is the tech support team. We’ve detected a virus on your computer. Let us fix it for you.,Fraud
Your account has been flagged for unusual activity. Verify now to secure it.,Fraud
This is the insurance company. Your policy needs renewal. Update your payment details now.,Fraud
You have an outstanding balance on your loan. Pay now to avoid penalties.,Fraud
This is an automated call from your bank. Please press 1 to verify your identity.,Fraud
Your account has been accessed from an unknown location. Please verify your credentials.,Fraud
This is the fraud alert team. We need to confirm your recent transactions.,Fraud
You have a pending refund. Provide your bank details to receive it.,Fraud
This is the bank. Your account has been locked due to suspicious activity. Verify now to unlock it.,Fraud
Your subscription is about to expire. Renew now by providing your payment information.,Fraud
This is the government benefit office. You have been awarded a grant. Provide your details to claim it.,Fraud
You have a new message from the bank. Please call us back to listen to it.,Fraud
Your account has been compromised. Please reset your password immediately.,Fraud
This is the debt collection agency. You need to settle your overdue account.,Fraud
You have an unpaid medical bill. Pay now to avoid additional charges.,Fraud
This is a call from the tech support team. We've detected unusual activity on your device. Please allow us remote access to fix it.,Fraud
Your bank account has been flagged for a large withdrawal. Please verify the transaction immediately.,Fraud
"This is the fraud department. Did you recently purchase a $1,000 item from another country?",Fraud
You’ve won a free smartphone. Please provide your mailing address to receive it.,Fraud
This is the IT department. Your company email account has been compromised. Please reset your password.,Fraud
Your account has been locked due to multiple failed login attempts. Verify your details to unlock it.,Fraud
This is a call from the travel agency. Your booking has been canceled. Confirm your details for a refund.,Fraud
You have an unpaid traffic ticket. Pay now to avoid additional fines.,Fraud
This is the bank. We need to verify your identity for a recent transaction.,Fraud
Your credit report shows suspicious activity. Please confirm your identity.,Fraud
This is a call from your cable provider. Your service will be disconnected unless you update your payment information.,Fraud
You’ve been selected for a special credit card offer. Confirm your details to proceed.,Fraud
This is the bank's security team. We need to verify a recent large transfer.,Fraud
Your online account has been compromised. Please reset your security questions.,Fraud
This is the fraud team. Did you authorize a recent international transaction?,Fraud
Your subscription will be terminated unless you provide updated payment details.,Fraud
This is the finance department. Your payroll account needs verification.,Fraud
You have a package waiting for you. Provide your details to schedule delivery.,Fraud
This is the utility company. Your account is overdue. Pay now to avoid disconnection.,Fraud
Your account shows unauthorized purchases. Please verify them immediately.,Fraud
This is a call from the credit union. We’ve detected suspicious activity on your account.,Fraud
You have an outstanding toll fee. Pay now to avoid additional charges.,Fraud
This is the fraud alert service. We need to confirm a recent transaction.,Fraud
Your email has been accessed from an unknown location. Verify your details.,Fraud
This is the healthcare provider. Your medical records need to be updated.,Fraud
You’ve been chosen to participate in a special promotion. Confirm your details.,Fraud
This is a call from the gaming company. Your account needs verification.,Fraud
Your bank account will be suspended unless you confirm your identity.,Fraud
This is the finance team. Your tax refund needs verification.,Fraud
You have an unpaid parking ticket. Pay now to avoid penalties.,Fraud
This is the fraud prevention department. Did you authorize a recent purchase?,Fraud
Your subscription has expired. Renew now to continue services.,Fraud
This is the bank. We need to confirm a recent change to your account.,Fraud
Your loan application needs additional information. Please provide your details.,Fraud
This is the IT helpdesk. Your computer is at risk. Let us fix it remotely.,Fraud
You’ve been selected for a free vacation. Confirm your details to claim it.,Fraud
This is the fraud department. We’ve detected suspicious activity on your credit card.,Fraud
Your bank account needs verification to prevent it from being locked.,Fraud
This is a call from the insurance company. Your policy needs to be updated.,Fraud
You have an outstanding debt. Pay now to avoid collection.,Fraud
This is the fraud team. We need to verify a large transaction on your account.,Fraud
Your account shows multiple failed login attempts. Verify your details to secure it.,Fraud
This is the tech support team. Your device has been compromised. Let us fix it.,Fraud
You have an overdue balance. Pay now to avoid service interruption.,Fraud
This is the bank’s security department. We need to verify your recent activity.,Fraud
Your subscription renewal failed. Please update your payment information.,Fraud
This is a call from the employment office. We need to verify your job application details.,Fraud
Your account has been flagged for suspicious activity. Please confirm your identity.,Fraud
This is the fraud alert service. Did you authorize a recent withdrawal?,Fraud
Your account needs verification to prevent suspension.,Fraud
This is the healthcare provider. We need to confirm your recent appointment.,Fraud
You’ve won a prize in our sweepstakes. Confirm your details to claim it.,Fraud
This is a call from the software company. Your license needs to be renewed.,Fraud
Your bank account has been temporarily locked. Please verify your identity.,Fraud
This is the fraud department. We need to confirm a recent transaction on your account.,Fraud
Your subscription will expire soon. Renew now to avoid interruption.,Fraud
This is the loan office. Your application needs additional details.,Fraud
You have an outstanding balance on your utilities. Pay now to avoid disconnection.,Fraud
This is the fraud team. We’ve detected unusual activity on your credit card.,Fraud
Your account will be locked unless you verify your identity immediately.,Fraud
This is the tax office. Your refund needs verification.,Fraud
You have an unpaid fine. Pay now to avoid additional charges.,Fraud
This is the bank’s security department. Did you authorize a recent transfer?,Fraud
Your subscription renewal failed. Please update your payment information.,Fraud
This is the IT support team. Your email account has been compromised.,Fraud
You’ve been selected for a special discount. Confirm your details to avail it.,Fraud
This is the fraud alert service. We need to verify your recent activity.,Fraud
Your account needs verification to prevent it from being locked.,Fraud
